Country,Total #Alpha 202012/01 GRY (B.1.1.7+Q.*),#Alpha 202012/01 GRY (B.1.1.7+Q.*) in past 4 weeks,%Alpha 202012/01 GRY (B.1.1.7+Q.*) in past 4 weeks
United Kingdom,"270,422",4,0
United States,"235,680",1,0
Germany,"103,596",0,0
Sweden,"65,541",1,0.1
Denmark,"62,968",0,0
Japan,"48,787",0,0
Canada,"40,515",0,0
France,"34,950",0,0
Netherlands,"30,028",1,0
Italy,"26,457",7,0.5
Spain,"24,665",0,0
Switzerland,"21,933",0,0
Belgium,"21,346",0,0
Ireland,"16,101",0,0
Poland,"15,460",0,0
Norway,"13,763",0,0
Lithuania,"9,356",0,0
Slovenia,"8,538",0,0
Israel,"8,029",0,0
Finland,"6,477",0,0
Greece,"5,671",0,0
Portugal,"5,019",0,0
Luxembourg,"4,900",0,0
Slovakia,"4,591",0,0
India,"4,550",0,0
Croatia,"4,480",0,0
Czech Republic,"4,474",0,0
Austria,"3,908",0,0
Estonia,"3,204",0,0
Latvia,"3,195",0,0
Bulgaria,"3,071",0,0
Philippines,"2,732",0,0
Thailand,"2,018",3,2.3
Turkey,"2,012",1,0.1
Mexico,"1,797",0,0
Romania,"1,368",0,0
Brazil,993,0,0
Puerto Rico,947,0,0
South Korea,834,0,0
Kenya,824,0,0
Cambodia,805,17,8.2
Lebanon,791,0,0
Iceland,598,0,0
Australia,587,0,0
Aruba,551,0,0
Pakistan,460,0,0
Sint Maarten,435,0,0
Sri Lanka,420,0,0
Russia,405,0,0
Ghana,378,0,0
United Arab Emirates,374,0,0
Curacao,318,0,0
North Macedonia,306,0,0
Argentina,305,0,0
Martinique,258,0,0
Nigeria,255,0,0
Qatar,238,0,0
Ecuador,237,0,0
South Africa,227,0,0
Gibraltar,216,0,0
Jamaica,206,0,0
Chile,195,0,0
Singapore,190,0,0
Bonaire,183,0,0
Kazakhstan,177,0,0
China,167,0,0
Oman,160,0,0
Malta,152,0,0
Angola,152,0,0
New Zealand,152,0,0
Costa Rica,145,0,0
Colombia,143,0,0
Morocco,137,0,0
U.S. Virgin Islands,132,0,0
Guadeloupe,131,0,0
Jordan,131,0,0
Ukraine,116,0,0
Reunion,100,0,0
Bangladesh,97,0,0
Georgia,96,0,0
Guam,95,0,0
Iraq,88,0,0
Djibouti,79,0,0
Bosnia and Herzegovina,77,0,0
Indonesia,76,0,0
Gambia,72,0,0
Bahrain,62,0,0
French Guiana,61,0,0
The Bahamas,59,0,0
Iran,58,0,0
Taiwan,56,0,0
Afghanistan,56,0,0
Montenegro,55,0,0
Serbia,54,0,0
Suriname,47,0,0
Guinea,46,0,0
Barbados,45,0,0
Gabon,45,0,0
Benin,37,0,0
Moldova,37,0,0
Cayman Islands,35,0,0
Senegal,35,0,0
Saint Lucia,34,0,0
Republic of the Congo,34,0,0
Malaysia,33,0,0
Cote d'Ivoire,33,0,0
Guinea-Bissau,32,0,0
Togo,31,0,0
Hungary,29,0,0
Belize,28,0,0
Albania,28,0,0
Palestine,27,0,0
Panama,27,0,0
Kosovo,26,0,0
Vietnam,26,0,0
Madagascar,25,0,0
Peru,24,0,0
Belarus,22,0,0
Kuwait,22,0,0
Liechtenstein,20,0,0
Antigua and Barbuda,19,0,0
Ethiopia,18,0,0
Guatemala,18,0,0
Uganda,17,0,0
Dominican Republic,16,0,0
Democratic Republic of the Congo,16,0,0
Egypt,15,0,0
Maldives,14,0,0
Cameroon,13,0,0
Nepal,12,0,0
Armenia,12,0,0
Central African Republic,12,0,0
Algeria,11,0,0
Rwanda,11,0,0
Wallis and Futuna Islands,10,0,0
Cyprus,10,0,0
Trinidad and Tobago,9,0,0
Somalia,7,0,0
Andorra,7,0,0
Tunisia,6,0,0
Paraguay,6,0,0
Venezuela,6,0,0
Malawi,5,0,0
Turks and Caicos Islands,5,0,0
Seychelles,5,0,0
Fiji,5,0,0
Dominica,4,0,0
Saudi Arabia,4,0,0
El Salvador,4,0,0
Liberia,4,0,0
Cabo Verde,4,0,0
Namibia,3,0,0
Azerbaijan,3,0,0
Northern Mariana Islands,3,0,0
Grenada,3,0,0
Burkina Faso,3,0,0
Monaco,3,0,0
Zambia,3,0,0
Anguilla,2,0,0
Mozambique,2,0,0
Faroe Islands,2,0,0
Niger,2,0,0
Mayotte,2,0,0
Uzbekistan,2,0,0
Montserrat,2,0,0
Bermuda,2,0,0
South Sudan,2,0,0
Myanmar,2,0,0
Sudan,2,0,0
Equatorial Guinea,1,0,0
Mauritius,1,0,0
Mali,1,0,0
Haiti,1,0,0
Libya,1,0,0
Honduras,1,0,0
Chad,1,0,0
Burundi,1,0,0
British Virgin Islands,1,0,0
