Country,Total #Beta GH/501Y.V2 (B.1.351+B.1.351.2+B.1.351.3),#Beta GH/501Y.V2 (B.1.351+B.1.351.2+B.1.351.3) in past 4 weeks,%Beta GH/501Y.V2 (B.1.351+B.1.351.2+B.1.351.3) in past 4 weeks
South Africa,"6,953",0,0
France,"3,376",2,0.1
Philippines,"3,184",0,0
United States,"3,045",0,0
Sweden,"2,526",0,0
Germany,"2,283",0,0
Reunion,"2,276",0,0
Canada,"1,345",0,0
Finland,"1,191",0,0
Belgium,"1,098",0,0
United Kingdom,"1,072",1,0
Luxembourg,911,0,0
Turkey,711,0,0
Netherlands,697,1,0
Qatar,619,0,0
Angola,423,0,0
Bangladesh,420,0,0
Norway,411,0,0
Mayotte,394,0,0
Mozambique,380,0,0
Botswana,347,0,0
Spain,335,0,0
Malawi,333,0,0
Zimbabwe,333,0,0
Switzerland,330,0,0
Austria,270,0,0
India,259,0,0
Malaysia,252,0,0
Israel,245,0,0
Madagascar,206,0,0
Kenya,206,0,0
Singapore,203,0,0
Zambia,168,0,0
Namibia,130,0,0
Denmark,128,0,0
Italy,122,0,0
Portugal,119,0,0
China,116,0,0
Japan,112,0,0
Thailand,109,0,0
Australia,94,0,0
Ireland,79,0,0
Pakistan,74,0,0
Czech Republic,74,0,0
Greece,58,0,0
Rwanda,50,0,0
Croatia,48,0,0
Poland,45,0,0
United Arab Emirates,41,0,0
Estonia,37,0,0
South Korea,36,0,0
Democratic Republic of the Congo,32,0,0
Slovakia,32,0,0
Slovenia,31,0,0
New Zealand,31,0,0
Russia,29,0,0
Eswatini,28,0,0
Seychelles,28,0,0
Equatorial Guinea,24,0,0
Indonesia,22,0,0
Ghana,22,0,0
Mexico,19,0,0
Uganda,15,0,0
Sudan,15,0,0
Lesotho,14,0,0
Costa Rica,13,0,0
Bahrain,12,0,0
Brazil,11,0,0
Lithuania,11,0,0
Cameroon,11,0,0
Latvia,10,0,0
Oman,9,0,0
Romania,8,0,0
Sri Lanka,7,0,0
Mauritius,7,0,0
Togo,6,0,0
Comoros,6,0,0
Suriname,5,0,0
Gabon,5,0,0
Jordan,5,0,0
Chile,5,0,0
Burundi,5,0,0
Somalia,4,0,0
Guadeloupe,4,0,0
Republic of the Congo,4,0,0
Djibouti,4,0,0
Aruba,4,0,0
Taiwan,4,0,0
Guam,4,0,0
Cote d'Ivoire,4,0,0
Tunisia,3,0,0
Malta,3,0,0
Bulgaria,3,0,0
South Sudan,3,0,0
Nigeria,2,0,0
Central African Republic,2,0,0
Iran,2,0,0
Martinique,2,0,0
French Guiana,2,0,0
Panama,2,0,0
Benin,1,0,0
Puerto Rico,1,0,0
Ethiopia,1,0,0
Guatemala,1,0,0
Saudi Arabia,1,0,0
Guinea-Bissau,1,0,0
Argentina,1,0,0
Iceland,1,0,0
Morocco,1,0,0
Sint Maarten,1,0,0
Cayman Islands,1,0,0
Iraq,1,0,0
Brunei,1,0,0
Monaco,1,0,0
North Macedonia,1,0,0
Kuwait,1,0,0
Georgia,1,0,0
