Country,Total_Delta_Cases
United States,738072
United Kingdom,689352
Germany,93823
Japan,70008
Denmark,68750
France,58973
Canada,57009
Turkey,47478
India,39681
Switzerland,31555
Sweden,29872
Belgium,27921
Italy,24927
Spain,24778
Netherlands,23437
Australia,18445
Ireland,17353
Mexico,14470
Brazil,13344
Slovenia,11472
Norway,10263
Portugal,9963
South Africa,9522
Israel,8351
Finland,7726
Lithuania,7533
Poland,7442
Singapore,6701
Czech Republic,5828
Austria,5825
South Korea,5327
Slovakia,4736
Indonesia,4591
Luxembourg,4072
Russia,3879
Iceland,3767
Chile,3447
Romania,3395
Philippines,3222
Croatia,3166
Bulgaria,2836
Thailand,2619
Malaysia,2592
Greece,2209
Estonia,2063
New Zealand,1871
Peru,1636
Aruba,1557
Nigeria,1431
Bahrain,1365
Puerto Rico,1358
Sint Maarten,1174
Bangladesh,1147
Kenya,1060
Botswana,941
Gibraltar,848
Sri Lanka,830
Kosovo,776
Reunion,729
Colombia,698
Vietnam,686
Pakistan,602
Qatar,544
Cambodia,530
Fiji,507
Ghana,489
China,483
Maldives,429
Costa Rica,378
Curacao,367
Bonaire,357
Argentina,353
Guadeloupe,353
Zambia,326
Martinique,304
Rwanda,283
U.S. Virgin Islands,247
Mozambique,245
Uganda,244
Nepal,238
Ecuador,232
Democratic Republic of the Congo,228
Georgia,223
French Guiana,222
Seychelles,213
Guatemala,200
Bosnia and Herzegovina,199
Kuwait,196
Ethiopia,195
Malawi,191
Gambia,187
Jordan,184
Montenegro,178
Papua New Guinea,177
Kazakhstan,167
Oman,159
Suriname,150
Cameroon,145
Togo,130
Namibia,110
Paraguay,100
Zimbabwe,96
Morocco,89
Eswatini,81
Lebanon,80
Ukraine,79
Senegal,75
Latvia,74
Monaco,70
Malta,63
Belize,61
Republic of the Congo,59
Burundi,57
Liberia,56
Uzbekistan,50
Angola,50
Armenia,50
Liechtenstein,48
Benin,47
Antigua and Barbuda,39
North Macedonia,38
The Bahamas,38
Serbia,33
Myanmar,33
Timor-Leste,33
South Sudan,30
United Arab Emirates,28
Brunei,28
Egypt,27
Gabon,26
Cayman Islands,25
Algeria,25
Barbados,23
Mayotte,23
Mauritius,22
Sierra Leone,22
Burkina Faso,21
Andorra,21
Afghanistan,20
Northern Mariana Islands,19
Central African Republic,17
Dominican Republic,16
Iran,16
Taiwan,15
Equatorial Guinea,14
Guam,14
Iraq,13
Moldova,11
Albania,11
Jamaica,10
Anguilla,8
Saint Barthelemy,7
Saint Lucia,4
Turks and Caicos Islands,4
Guinea,3
England,3
Grenada,3
Trinidad and Tobago,3
Mali,2
Honduras,2
El Salvador,2
Montserrat,2
Saint Vincent and the Grenadines,2
Tunisia,1
Azerbaijan,1
Slovak Republic,1
Haiti,1
Panama,1
Mongolia,1
Cyprus,1
Venezuela,1
British Virgin Islands,1
