Country,Total #Delta GK (B.1.617.2+AY.*),#Delta GK (B.1.617.2+AY.*) in past 4 weeks,%Delta GK (B.1.617.2+AY.*) in past 4 weeks
United States,"774,097","40,801",95
United Kingdom,"701,695","86,718",100
Germany,"100,368","11,805",100
Denmark,"72,843","15,690",100
Japan,"70,008",39,100
France,"60,463","2,936",99.1
Canada,"57,852",20,100
Turkey,"48,034","1,132",99.9
India,"40,647",0,0
Switzerland,"32,242","3,322",99.7
Sweden,"30,299",964,99.4
Belgium,"28,520","2,751",99.3
Spain,"25,573",952,97.8
Italy,"25,565","1,368",98.6
Netherlands,"25,028","2,307",99.7
Australia,"19,666","2,330",99.7
Ireland,"18,223",239,100
Mexico,"15,672",544,99.6
Brazil,"14,488",56,98.2
Slovenia,"11,720",409,100
Norway,"10,663",684,100
Portugal,"10,412",780,100
South Africa,"9,865",43,100
Israel,"8,179",472,88.2
Lithuania,"8,042",712,99
Poland,"7,850","1,421",94.2
Finland,"7,603",0,0
Singapore,"6,849",836,100
Czech Republic,"6,344",758,99.9
Austria,"6,135",151,8.8
South Korea,"5,391",0,0
Slovakia,"5,092",215,100
Indonesia,"4,653",13,100
Chile,"4,118",618,96.4
Luxembourg,"4,072",25,100
Russia,"3,916",172,100
Romania,"3,816",288,100
Iceland,"3,767",0,0
Croatia,"3,321",0,0
Philippines,"3,222",0,0
Thailand,"3,115",126,96.9
Bulgaria,"3,107",0,0
Malaysia,"2,982",21,100
New Zealand,"2,508",884,100
Estonia,"2,233",0,0
Greece,"2,209",0,0
Peru,"1,948",110,96.5
Bahrain,"1,644",655,100
Aruba,"1,592",36,100
Nigeria,"1,424",0,0
Puerto Rico,"1,359",2,100
Bangladesh,"1,212",0,0
Sint Maarten,"1,192",19,100
Kenya,"1,147",7,100
Botswana,912,42,100
Vietnam,877,2,100
Sri Lanka,860,32,24.8
Gibraltar,848,0,0
Colombia,827,4,57.1
Kosovo,777,0,0
Qatar,755,0,0
Reunion,731,4,100
Pakistan,613,45,97.8
Cambodia,530,128,61.8
China,513,27,100
Fiji,507,0,0
Ghana,489,0,0
Costa Rica,460,8,11.8
Curacao,442,44,100
Maldives,429,0,0
Bonaire,424,89,100
Seychelles,402,0,0
Guadeloupe,355,3,100
Argentina,353,1,0.8
Martinique,335,41,100
Zambia,326,0,0
Mozambique,302,0,0
Guatemala,302,0,0
Rwanda,283,0,0
Gambia,273,0,0
U.S. Virgin Islands,247,0,0
Uganda,244,0,0
Nepal,238,0,0
Ecuador,230,0,0
Democratic Republic of the Congo,228,0,0
Georgia,223,64,68.1
French Guiana,222,0,0
Bosnia and Herzegovina,221,1,100
Jordan,197,20,95.2
Ethiopia,195,0,0
Kuwait,193,1,100
Malawi,189,0,0
Montenegro,178,0,0
Papua New Guinea,177,0,0
Kazakhstan,167,0,0
Oman,159,0,0
Suriname,150,0,0
Cameroon,145,0,0
Ukraine,137,0,0
Togo,130,0,0
Morocco,114,24,100
Namibia,110,0,0
Paraguay,100,0,0
Belize,98,0,0
Zimbabwe,96,0,0
Senegal,83,4,66.7
Eswatini,81,0,0
Lebanon,80,0,0
Latvia,73,0,0
Monaco,70,0,0
Malta,63,0,0
Guinea-Bissau,62,0,0
Republic of the Congo,59,0,0
Burundi,57,0,0
Liberia,56,0,0
Angola,50,0,0
Armenia,50,0,0
Uzbekistan,47,0,0
Benin,47,0,0
Liechtenstein,46,7,100
Antigua and Barbuda,39,0,0
North Macedonia,38,0,0
The Bahamas,38,0,0
Serbia,33,0,0
Myanmar,33,0,0
Timor-Leste,33,0,0
South Sudan,29,0,0
United Arab Emirates,28,0,0
Brunei,28,0,0
Egypt,27,0,0
Gabon,26,0,0
Cayman Islands,25,1,100
Algeria,25,0,0
Barbados,23,0,0
Mayotte,23,0,0
Mauritius,22,0,0
Sierra Leone,22,0,0
Burkina Faso,21,0,0
Andorra,21,0,0
Afghanistan,20,0,0
Guinea,19,0,0
Northern Mariana Islands,19,0,0
Central African Republic,17,0,0
Iran,16,0,0
Taiwan,15,0,0
Equatorial Guinea,14,0,0
Dominican Republic,14,0,0
Guam,14,0,0
Iraq,13,0,0
Moldova,11,0,0
Albania,11,0,0
Jamaica,10,0,0
Anguilla,8,0,0
Saint Barthelemy,7,0,0
Saint Lucia,4,0,0
Turks and Caicos Islands,4,0,0
England,3,0,0
Grenada,3,0,0
Trinidad and Tobago,3,0,0
Mali,2,0,0
Honduras,2,0,0
El Salvador,2,0,0
Montserrat,2,0,0
Saint Vincent and the Grenadines,2,0,0
Tunisia,1,0,0
Azerbaijan,1,0,0
Slovak Republic,1,0,0
Haiti,1,0,0
Panama,1,0,0
Mongolia,1,0,0
Cyprus,1,0,0
Venezuela,1,0,0
British Virgin Islands,1,0,0
