Country,Total #Lambda GR/452Q.V1 (C.37+C.37.1),#Lambda GR/452Q.V1 (C.37+C.37.1) in past 4 weeks,%Lambda GR/452Q.V1 (C.37+C.37.1) in past 4 weeks
Peru,"3,921",0,0
Chile,"1,790",0,0
United States,"1,227",0,0
Argentina,691,0,0
Ecuador,257,0,0
Spain,224,0,0
Mexico,214,0,0
Germany,102,0,0
Colombia,101,0,0
France,63,1,0
Switzerland,34,0,0
Canada,29,0,0
Israel,25,0,0
Brazil,21,0,0
Costa Rica,16,0,0
Italy,15,0,0
Netherlands,12,0,0
Saint Kitts and Nevis,10,0,0
Belgium,10,0,0
El Salvador,9,0,0
Denmark,9,0,0
United Kingdom,8,0,0
Panama,6,0,0
Dominican Republic,5,0,0
Japan,5,0,0
Puerto Rico,4,0,0
Sweden,4,0,0
Ireland,4,0,0
Guatemala,3,0,0
Bolivia,2,0,0
South Africa,2,0,0
Portugal,2,0,0
Sint Maarten,2,0,0
Mayotte,2,0,0
Venezuela,2,0,0
Aruba,2,0,0
Uruguay,1,0,0
Australia,1,0,0
Norway,1,0,0
Curacao,1,0,0
Czech Republic,1,0,0
Poland,1,0,0
