Country,Total #Mu GH (B.1.621+B.1.621.1),#Mu GH (B.1.621+B.1.621.1) in past 4 weeks,%Mu GH (B.1.621+B.1.621.1) in past 4 weeks
United States,"5,568",3,0
Colombia,"3,719",1,14.3
Chile,892,14,2.2
Spain,676,0,0
Mexico,419,0,0
Ecuador,293,0,0
Peru,190,0,0
Canada,151,0,0
Aruba,94,0,0
Dominican Republic,87,0,0
Italy,82,0,0
Netherlands,74,0,0
Costa Rica,65,0,0
United Kingdom,64,1,0
Puerto Rico,62,0,0
Belgium,52,1,0
Austria,49,0,0
Switzerland,48,0,0
France,30,0,0
Portugal,24,0,0
Curacao,21,0,0
British Virgin Islands,21,0,0
Brazil,19,0,0
Panama,16,0,0
Germany,15,0,0
Bonaire,10,0,0
Poland,8,0,0
Denmark,7,0,0
U.S. Virgin Islands,6,0,0
Haiti,6,0,0
Japan,5,0,0
Venezuela,5,0,0
Sweden,4,0,0
Guatemala,4,0,0
Argentina,4,0,0
Finland,4,0,0
Ireland,4,0,0
Slovakia,4,0,0
Luxembourg,3,0,0
China,3,0,0
Sint Maarten,3,0,0
Turkey,2,0,0
Cayman Islands,2,0,0
Bolivia,1,0,0
Liechtenstein,1,0,0
Gibraltar,1,0,0
Barbados,1,0,0
Romania,1,0,0
Czech Republic,1,0,0
Morocco,1,0,0
Turks and Caicos Islands,1,0,0
South Korea,1,0,0
Jamaica,1,0,0
Israel,1,0,0
Malta,1,0,0
